quote,poet name,poem title,published in
"Here, away from the cold science of stars,
crickets vied to share their secrets
in the tinnitus of trees.",Aaron Lee,Searching for a Mythical Flower on St John's Night,A Visitation of Sunlight
"The way each flower
tilts its tiny face
to the light answers
my every question.",Aaron Lee,flame of the forest,A Visitation of Sunlight
"Stillness. Into
the dewdropped silence
morning is ushered,
a visitation of sunlight.",Aaron Lee,Descent,A Visitation of Sunlight
"Straggler on these shores,
you must find where you are
before you can begin
your journey elsewhere.",Aaron Lee,Outlander,A Visitation of Sunlight
"Pause and think for a moment:
Before this day dies, it needs to be loved.",Aaron Lee,Pictures Not to be Forgotten,A Visitation of Sunlight
"All the while I'm thinking. Can a bird
think. Did it think what I thought.
How did it know what I was thinking.",Aaron Lee,Parable in Prose,A Visitation of Sunlight
"Sometimes at dusk
the sense of passing comes
even before the sunset is over.",Aaron Lee,A Visitation of Sunlight,A Visitation of Sunlight
"Her whisper was a lone sparrow
winging away, over an island of regret.",Aaron Lee,Scene on the North-east Line,Five Right Angles
"What I crave is the reality I can trust: sweat running
down my arm, its dark blossom in the dust,
my sun-worn youth tinged in the tilt of days.",Aaron Lee,Two Poems: Hope,Five Right Angles
"I am the shape
of everything into which I have been poured.
The room behind me empties
and I am filled to the brim with it, where I go.",Aaron Lee,The Life of the Party Tells All,Five Right Angles
"Back and forth.
Each step tallies a life-line between
today and everyday.",Aaron Lee,Sum of Days,Five Right Angles
"One more try is all it takes
to reach into heaven,
one more try to pluck
the stars fallen like pearls
from the bottom of the sea.",Aaron Lee,Dance of the Sugarplum Fairy,Five Right Angles
"We arrange ourselves,
laugh and lean. Long for
every turn of arm and eye
to say what we mean.",Aaron Lee,Best Foot Forward,Five Right Angles
"each night
love's design imprints
itself on me anew,
indelible, defying distance.",Aaron Lee,Stargazing in Cappadocia,Five Right Angles
city petrichor is the trace of silicates in organic carbons; oils and salts evanescing from underneath the cracks of cemented civilisations.,Amber Lin,Petrichor,Asingbol: An Archaeology of the Singaporean Poetic Form
"i did it, not drunk, not fishing for frayed knots wanting to be burnt, while having swallowed whole the holy water meant for my drying eyes.",Paul Jerusalem,drunk tweets to an old friend,Asingbol: An Archaeology of the Singaporean Poetic Form
"three – trinity, father, son, and holy spirit, jagged edges worn, a triangle enclosed on all sides, unyielding: together, we are made whole.",Stefanie Yeo,ASINGBOLS,Asingbol: An Archaeology of the Singaporean Poetic Form
"#10-01
the way to you is: drop my clothes on your bamboo raft, descend 4 floors, graze past your gates, bite your lower lip, and ask for your skin.",Joses Ho,Assignations in Void-Decks,Asingbol: An Archaeology of the Singaporean Poetic Form
"promises scour the vacant sink during a clandestine touch between her breath and an ice cube. he said, “like a memory, you expire in sepia”.",Beatrice Bowers,silver lining,Asingbol: An Archaeology of the Singaporean Poetic Form
"a mathematical equation is an unverified statement, an assertion of equal relationships between complex entities – merely a lie if variable.",Jerome Lim,mathasingbols,Asingbol: An Archaeology of the Singaporean Poetic Form
"a metaphorical equation is a paradoxical entity, not double- think – a hyperbolic paraboloid of meaning, a terrestrial mollusc, an evolution.",Jerome Lim,mathasingbols,Asingbol: An Archaeology of the Singaporean Poetic Form
"when the baby was born he felt an ache in his body – a rupture? (in a sky that lets no rain fall) – a wound? (of ashes, blossoming by fire).",Patricia Karunungan,duet,Asingbol: An Archaeology of the Singaporean Poetic Form
the memory: a faculty of stored information encoded and retained for forty years before eventual recollection and evocation of one’s father.,Pamela Seong Koon,asingbol,Asingbol: An Archaeology of the Singaporean Poetic Form
"beads slump, slack, from a string in the hand on street corners, supplication clacking against boredom in different colours for seven euros.",Loh Guan Liang,kombolói,Asingbol: An Archaeology of the Singaporean Poetic Form
"hence, the even-handed equilibrium aligns to balance as what is the sun to the moon, fire to water, gold dust to ash and the gavel to block.",Keane Lee Jun Wei,Exploitation Is Just Nature,Asingbol: An Archaeology of the Singaporean Poetic Form
"Holding its ground with webbed claws dug deep hidden in gnarled bumps, superficial intricate lattice – at times embellished others bare.",Shilpa Thapliyal,Tree,Asingbol: An Archaeology of the Singaporean Poetic Form
"A man in a room is a man in a room, why rhapsodise the tuneless facts, why wilt 140 characters on allegory when we write to circle just one.",Samuel Caleb Wee,Expatriates,Asingbol: An Archaeology of the Singaporean Poetic Form
"How this scenography of a widow or divorcée from Berkeley, California—hooded eye longing in October sun for wet yellow boys—replicates love.",Samuel Caleb Wee,Expatriates,Asingbol: An Archaeology of the Singaporean Poetic Form
"Fremdschämen—“Who the FUCK jokes about rape?”—now she shuts the hood of the pram, giggling on tiptoes, her eyes falling upon your dry mouth.",Samuel Caleb Wee,Expatriates,Asingbol: An Archaeology of the Singaporean Poetic Form
"the word before the noun, not possessive, not distributive, not quantifying, not even demonstrative, how else to determine the referent – a.",Benzie Dio,a,Asingbol: An Archaeology of the Singaporean Poetic Form
"sounds with a voice, words with a tune, performance with sounds, words, voice, tune, accompaniment of aforementioned performance with: sing.",Benzie Dio,sing,Asingbol: An Archaeology of the Singaporean Poetic Form
"not just ragu with meatbol spag bol, not just croatian brac with zlatni rat beach town bol, it is lol and rofl and lmao and omg bustout bol.",Benzie Dio,bol,Asingbol: An Archaeology of the Singaporean Poetic Form
"ctrl: in which you watch as i struggle to fit the legs of my askholmen into the space where axe has swung into oak, unquestioning, like my denial.",Min Lim,end process,Asingbol: An Archaeology of the Singaporean Poetic Form
"alt: a pre-assembled table that hopes for placed dinner plates, that they be gentler than your exacting stroke when the system bruises to a hush.",Min Lim,end process,Asingbol: An Archaeology of the Singaporean Poetic Form
"del: land prices, parents, the fact that relationships cannot be put to sleep – like your click killing error blocks 404, we never found our bto.",Min Lim,end process,Asingbol: An Archaeology of the Singaporean Poetic Form
"we share a coffin silence in the train from shinjuku to ueno, subterranean hum laced tight around the chest, heart meridian shantih shantih.",Rodrigo Dela Pena Jr.,one hand clapping,Asingbol: An Archaeology of the Singaporean Poetic Form
"santa clause is the bee’s eyebrows, duck’s knees, monkey’s earrings and oyster’s nuts all put together with a beer gut—never coming to town.",Al Lim,because one clause,Asingbol: An Archaeology of the Singaporean Poetic Form
as a medical student you will never get enough training so remember: the first cut on this soon to be cadaver is nothing but fine catharsis.,Sarah Tan Shu Ling,notes on killing your husband,Asingbol: An Archaeology of the Singaporean Poetic Form
supercalifragilisticexpialidocious is the clattering noise vomit you spew in a failing crusade against the silence – a disneyfied battle cry.,Dave Tai Wei Jie,asingbol,Asingbol: An Archaeology of the Singaporean Poetic Form
"adjective, n.: the doctor advises against 
abusing (only 8/day, taken if 
necessary) for when writing poetry you wish 
for people to trespass.",Benedicta Foo,asingbol,Asingbol: An Archaeology of the Singaporean Poetic Form
"small waves to the oblivious man —
the librations of the moon passing
by the emblazoning of the last 
burning radio onto the vast warm night.",Iain Lim Jun Rui,static by the western wharf,Asingbol: An Archaeology of the Singaporean Poetic Form
"a neanderthal circle behind the training shed as they litter the ammo box with a malbaro- bukake—how war shortens lives, brings men together.",Russ Hoe,basic trainfire package,Asingbol: An Archaeology of the Singaporean Poetic Form
"fencing is the elegant clashing of foils by faceless opponents and not inelegantly clashing with, opposing and foiling a faceless community.",Low Kian Seh,asingbol,Asingbol: An Archaeology of the Singaporean Poetic Form
"a foreign national is initially unaware of the whys and wherefores of condo or HDB block, the politics of (mis)alignment, of anger or smile.",Pallavi Narayan,asingbol,Asingbol: An Archaeology of the Singaporean Poetic Form
"We’re so squeezed for space we build HDBs like lego houses, packhomeslikesardines in this city tin-can; no one dares think there is enough room for art",Ng Yuci,asingbol,Asingbol: An Archaeology of the Singaporean Poetic Form
"normality is the slippery standstill on prisms, the tilted glass on the threshold of make or break; it hangs at the mercy of one quiet hush.",Renata Dharma,asingbol,Asingbol: An Archaeology of the Singaporean Poetic Form
"the red dot inflates & reclaims sea, land, air, lives — no longer an infinitesimal point but a hyperbolic line transgressing the impossible.",Mickey Lin,asingbol,Asingbol: An Archaeology of the Singaporean Poetic Form
"IF: asymptote is a straight line approaching a curve, forgets to stop or ask for a number, and thus both shall never meet at any finite distance.",Qamar Firdaus Saini,geometry,Asingbol: An Archaeology of the Singaporean Poetic Form
"a clause is a grammatical declaration of subjection and predication, finitude or non- finitude, independence or dependency, not mere phrases.",Ian Chung,A Primer,Asingbol: An Archaeology of the Singaporean Poetic Form
"swing: palms pressed against back, like staccato prayers, each shove a valiant attempt to seek God, cradling upwards then falling backwards.",Kristie Ng Xin Ting,playground,Asingbol: An Archaeology of the Singaporean Poetic Form
acceptance – equipoise from you whispering to your mind that you will be fine you will be fine you will be that phrase on repeat until fact.,See Wern Hao,“Five Stages”,Asingbol: An Archaeology of the Singaporean Poetic Form
"migration is mistaking a place for heaven only to find out it is hellish without family, comfort food and control over what you are called.",Eric Valles,Migration,Asingbol: An Archaeology of the Singaporean Poetic Form
"void deck: neither symbol nor testament, only this single trope of absence, burrowing into poems, its sighs rendered into syntax yet again.",Eva Lim,Places,Asingbol: An Archaeology of the Singaporean Poetic Form
"stairwell: according to urban legend, and observed from the perfect vantage point, echoes drawn from lips are words shielded by parentheses.",Eva Lim,Places,Asingbol: An Archaeology of the Singaporean Poetic Form
"elevator: “this is the pivotal moment”, the stories promise; as gazes meet to mark the point where silence unfolds into clumsy confessional.",Eva Lim,Places,Asingbol: An Archaeology of the Singaporean Poetic Form
Morning is when I wake up from a nightmare with cold sweat waiting to drip my piss into a bowl while nursing a semi from almost wet dreams.,Jared Ho,Asingbolic Day in the hypothetical life of JH,Asingbol: An Archaeology of the Singaporean Poetic Form
"roads – intersecting tar lines run parallel to rivers, streams, the occasional mountain range – civilizations be-alls and end-alls of roads.",Crispin Rodrigues,asingbol,Asingbol: An Archaeology of the Singaporean Poetic Form
"topography – roads and rivers are straight but people never walk in straight lines, ever cautious of potholes, pitfalls, roadworks, dogshit.",Crispin Rodrigues,asingbol,Asingbol: An Archaeology of the Singaporean Poetic Form
‘song’ is the shiok fewling that unker gets when he lim his kopi gao with his kah ki lang and talk cock sing song at the kopitiam downstair.,Joshua Lim,Eh-song-boh,Asingbol: An Archaeology of the Singaporean Poetic Form
"‘buay’ means cannot, don’t have – what mandarin cannot say in one character but we hokkien lang can one – the clear opposite of can and got.",Joshua Lim,Eh-song-boh,Asingbol: An Archaeology of the Singaporean Poetic Form
‘hoot’ is the one time swee swee hammering that limpeh will give when the on top words come together if you are a toot that cock up gao gao.,Joshua Lim,Eh-song-boh,Asingbol: An Archaeology of the Singaporean Poetic Form
"in the morning, turning over in bed, my phone saying that i have two unread messages: “it is enough for me to just know / but not remember.”",Daryl Qilin Yam,MY MESSAGES,Asingbol: An Archaeology of the Singaporean Poetic Form
"later, during the day: another message i typed but did not send: “your girlfriend is very lonely / because she has no friends in this city.”",Daryl Qilin Yam,MY MESSAGES,Asingbol: An Archaeology of the Singaporean Poetic Form
hey / do you possibly have her number cos / i’ve been trying to call her all day but / she won’t pick up and / i’m worried this might be it.,Daryl Qilin Yam,MY MESSAGES,Asingbol: An Archaeology of the Singaporean Poetic Form
"i just signed up on twitter, so i could tweet out a 140-character asingbol, as per bonus challenge c of desmond kon’s prompt on singpowrimo.",Kok Wei Liang,THE THREE ASINGBOLS OF A TWITTER VIRGIN,Asingbol: An Archaeology of the Singaporean Poetic Form
"with this second asingbol/tweet, i’m hereby tackling bonus challenge b of desmond’s prompt – i never knew that i could do bonuses backwards.",Kok Wei Liang,THE THREE ASINGBOLS OF A TWITTER VIRGIN,Asingbol: An Archaeology of the Singaporean Poetic Form
"with this third tweet, i take on bonus challenge a, gaining much satisfaction in literally doing this c-b-a instead of a-b-c – asingbol ftw.",Kok Wei Liang,THE THREE ASINGBOLS OF A TWITTER VIRGIN,Asingbol: An Archaeology of the Singaporean Poetic Form
"But you’ll still find me 
working my mouth around chwee kueh then 
googling it, my tongue wearing no patois.",Jack Xi,ACROLECT GRANDCHILD OF THE SETTLER PANDAS,Anima Methodi: The Poetics of Mirroring
"no, I haven’t forgotten you, your pallor is a quick fix, a quick stir — there — all better.",Shalani Devi,A kopitiam love story,Anima Methodi: The Poetics of Mirroring
"words are a mistake when they 
run from our breaths, yet it shouldn’t matter; we are 
but dust peeling from bones, our hands alive and far away.",Nicholas Quek Wei Sheng,"time, lapsed",Anima Methodi: The Poetics of Mirroring
"i’ve long yearned for the sense of wonder 
that union of body and mind could/should bring 
as much as it is, in every sense, impossible",Kishore Kumar Kalai Chalvan,The Quintessential Singa(y)porean Experience,Anima Methodi: The Poetics of Mirroring
"the breath of mad and dying souls have a strange allure, i know 
but wait, beware folie imposée, from those who conquer meaning 
come and seek answers beyond, pull back the see-through veil",Keith Lim Wen Xuan,apathy,Anima Methodi: The Poetics of Mirroring
"they wait for
an embrace that will froth into affection in a dream.
i am looking for the key to dreams. est-ce la pipe?",Wahid Al Mamun,I AM LOOKING FOR A KEY TO DREAMS,Anima Methodi: The Poetics of Mirroring
"There is no quality it finds in things in which life
is both beginning and in the end. There is no antidote
to time walking the same way and much less a function 
through which the last part we freeze-frame. ",Francine Wang,Soma,Anima Methodi: The Poetics of Mirroring
"Tell me again, how did we arrive on this coastland?
Was it Chance that decided where we must anchor?",Migs Bravo-Dutt,Book Seven: Arrival,Anima Methodi: The Poetics of Mirroring
"I can’t recall what I saw, exactly: a sunspot 
shaped like a laden ox. A tale without a head.",Anurak Saelaow,Hymn,Anima Methodi: The Poetics of Mirroring
"But in your being you beg for it.
And in the weariness of the crowd, it wasn’t just felt or heard 
but seen, oscillating through our faces, heavy with each pulse 
but no one seemed to mind. ",Ho Kin Yunn,The Humming,Anima Methodi: The Poetics of Mirroring
"The plot line is an unending fallacy, or distance, 
and the treacherous stair climb, between highways 
weaving their red lights, while time, is in tandem. 
",Iain Lim Jun Rui,One Niner Zero Is The Call Sign Of The Sublime,Anima Methodi: The Poetics of Mirroring
"The truth always will come out. 
Sometimes it comes out too late. 
I began composition of the 
antemortem after it was all over.",Margaret Devadason,Perimortem,Anima Methodi: The Poetics of Mirroring
"Then Being becomes poem, the mythopoesis.
This myth may have a future, it is speculative.
Is horse-boy noumenal, existing beyond myth?",Jerome Lim,Mythopoeia,Anima Methodi: The Poetics of Mirroring
"There, a question and two answers.
You are the second person and the implied subject is now present.
Drunk is perfect, yes.",Jerome Lim,Tabernam cafea,Anima Methodi: The Poetics of Mirroring
"Bury the signposts deep. Cut yours off
at the sleeves, then suture the veins
still dangling there. They don’t need to
see so much of you. Don’t let them see through you. Not that way. Not even you need to see yourself like that. ",Margaret Devadason,Lacuna, 
"the hammering starts dancing
in the dust again
but i was no longer an intermediate behind the wheel",Sarah Tan Shu Ling,clockwork,Anima Methodi: The Poetics of Mirroring
"Sit like you’re about to leap
into moonlight, into blue night
like mist into dawn. Turn, drawn against your will by this still art
that promises nothing. ",Hidhir Razak,"Anima, On Canvas",Anima Methodi: The Poetics of Mirroring
"dressed the part, part the crowd 
voices absorbed, still asleep 
garbled ambition, ivories rushed 
comfort folded in blanket fort 
toss a coin, then turn the toss 
the day said yes, yesterday",Charlene Shepherdson,five more minutes,Anima Methodi: The Poetics of Mirroring
"there are lives that only exist at their death,
like yours. your last impression was a name
set into a marble block, where I faced a small 
carapace: a cloudy façade 
to your now-real face of stained ash. ",Alyssa Marie Loo,petrichor,Anima Methodi: The Poetics of Mirroring
"
Tighter and tighter, till your words had but discharged 
Into the molten sky; like tiny winged ballerinas, like us.",Damon Chua,Un Poco Pequeño,Anima Methodi: The Poetics of Mirroring
"At last, you wake up from a siesta,
the blue period of that painter.
You see statues, a depressed guitar,
and jazz uncoiling from the decanter.",Chris Mooney-Singh,Blue Period,Anima Methodi: The Poetics of Mirroring
"Your favourite five-petalled flower is
in bloom again. You bring out your blue pottery
collection, lay the organza runner with silver
platters, ready to host a party again",Shilpa Thapliyal,Frangipani,Anima Methodi: The Poetics of Mirroring
"the flinching from touch, not anger, not itch, 
only the dignity
of holding a pink brush which fades 
to a sparse fur ball, an invitation
for a careless breeze or breath.",Aaric Tan Xiang Yeow,Emilia sonchifolia,Anima Methodi: The Poetics of Mirroring
"we draw
the statues out of the water, pellucid
and half-broken, and patch them together 
fingers forcing edges to align
into some semblance of order.",Kendrick Loo,RECONSTITUTION,Anima Methodi: The Poetics of Mirroring
"Isochronous signals, it starts with the letter D. Diverge, decide, defy. A marathon run to the dark, let’s begin again.",Cass Zheng Xiwen,Begin Again,Anima Methodi: The Poetics of Mirroring
"You quell an inner uprising. I sully the thought 
with salt water, I dig deep and double down, down 
where no one may see it. I let myself feast 
on starvation. I bite my own fist in lieu of release.",Valen Lim,21st Century Quang Ducs,Anima Methodi: The Poetics of Mirroring
"The truth is: being a hero is lonely.
You cannot serve people unless you know 
that you may go unacknowledged; 
veneration is only for poets, or deities.",Gwyneth Teo,"Tang Jie, Tai Sui of the Year of the Fire Rooster",Anima Methodi: The Poetics of Mirroring
"Let the call to prayer harmonise
with the chime, and meld with 
the fragrance of new scents.
Here, heaven is maturing to earth.",Ow Yeong Wai Kit,Light Upon Light,Anima Methodi: The Poetics of Mirroring
"Then 
you cut the limbs off it, this thing you said 
and thought was worth saying, this thing you 
wrote and thought was worth writing. You cut 
them right off, those limbs. You call that love.",Margaret Devadason,Illumination,Anima Methodi: The Poetics of Mirroring
My sweat turns villages to metros / and metros into civilization.,MR Mizan,In This City,Call and Response: a migrant-local poetry anthology
It is either afternoon or the wait for afternoon / A village bled to build this; a beautiful urban blank.,David Wong,In This City,Call and Response: a migrant-local poetry anthology
"Always
I find a dwelling place,
conversation whispered
into a fist, closing
into monsoon.",Teo Xiao Ting,The Feather Lights,Call and Response: a migrant-local poetry anthology
We remain we. My day lengthens. Your night falls.,Nabilah Said,Continental Drift,Call and Response: a migrant-local poetry anthology
"Fear of the body is fear of people.
Do not keep my body in the yard.",Md Riazul Islam Riaz,Dead Body of an Expatriate,Call and Response: a migrant-local poetry anthology
"Crossing,
we became migrants
and signed treaties with this world.",Bikas Nath,Bag,Call and Response: a migrant-local poetry anthology
"Our nation is a book
but we have no time to read.",Ann Ang,Book,Call and Response: a migrant-local poetry anthology
"as my ribcage was melting
I was thinking of that line that you drew in air",Naive L. Gascon,Force Field,Call and Response: a migrant-local poetry anthology
"I am 29 and too old to wax and
wane in regret.",Amanda Chong,Prime,Call and Response: a migrant-local poetry anthology
"From the inflation of sick dreams
falls torn pieces of cloud.",Mohiuddin,Windfall Dream,Call and Response: a migrant-local poetry anthology
"how come they
say morning has broken      I am still a citizen of morning",Theophilus Kwek,The Way Light Works,Call and Response: a migrant-local poetry anthology
"the law of the cosmos begins where
Everything is moving apart from everything else.",Kausar Ahmed,Distance,Call and Response: a migrant-local poetry anthology
"The steady hum of the tumble
dryer shuddering with the load
of my knees against your knees.",Ang Shuang,Muted Magic,Call and Response: a migrant-local poetry anthology
"I, too
fed the anthology
to the shredder, found
not a single sound verse",Marylyn Tan,RŪMĪ IN A BATHROBE EXHORTING YOU TO STEP NAKED INTO THE STREAM OF TRUTH,Call and Response: a migrant-local poetry anthology
"I know because I’m
a scarecrow in a foreign land.",Rea Maac,Scarecrow,Call and Response: a migrant-local poetry anthology
"Only I know
The moment I am lifted
I explode.",Yolanda Yu Miaomiao,Teapot,Call and Response: a migrant-local poetry anthology
"Under the sky of a second home,
I raft my hope, feeling and love
I am tousled",Wiwik Tri Winarsih,Caste,Call and Response: a migrant-local poetry anthology
"She maybe the maid you pay her less
She don’t complain you give her less
She don’t fight back you treat her less
She maybe the maid.",Rolinda Onates Espinola,She Maybe,Call and Response: a migrant-local poetry anthology
"While she approaches us

after we complete our inputs
before departing
let us present a little smile.

Let it be an incentive.",Manivannan,Restaurant Cleaner,Call and Response: a migrant-local poetry anthology
"she thinks of getting off.
chillier eyes eye her and smile.
out of work, she
is a faceless crowd.",Charlene Shepherdson,Shift,Call and Response: a migrant-local poetry anthology
"My pay is thrice your salary but you looked at me with one eye only
Hey you, yes you:",Sugiarti Mustiarjo,24 Months Under A Different Flag,Call and Response: a migrant-local poetry anthology
"To be stuck on the same paper
that society keeps discarding
They stopped blooming on the green light",Deni Apriyani,Murderers,Call and Response: a migrant-local poetry anthology
"Have you packed this
heart yourself?
Does it contain anything
inflammatory?",Alvin Pang,Line Breaking:,Call and Response: a migrant-local poetry anthology
"Staring at the towering buildings
Dreams must be higher than them",Windu Lestari,There's Hope,Call and Response: a migrant-local poetry anthology
"The sound of birds
The scent of figs
The salt of sweat
The feel of earth",Aaron Maniam,Heritage Tree,Call and Response: a migrant-local poetry anthology
"Millionaires from the New World with nothing else to do
Wander the Old World like wandering Jews",Francis P. Ng,from F.M.S.R. (1937),Unfree Verse
"Wasting the tick-tack-tick
Of the windscreen-wiper on a rainy night
And electric light
When it’s dark at seven nick.",Francis P. Ng,from F.M.S.R. (1937),Unfree Verse
"Into the night the train creeps,
With the night,
Dragging its rigid length like a snake
Hissing, wounded in the spine, moving—
Leaving writhing marks of crimson lake:
Johore Bahru, Kluang, Gemas..",Francis P. Ng,from F.M.S.R. (1937),Unfree Verse
"Bida Dari Garden-bed.
Bury at night, by electric light
Burning the night,
Lengthening shadows of darkening forms
Beckoning sorrows wriggling with worms.",Francis P. Ng,from F.M.S.R. (1937),Unfree Verse
"The moon, impure as ever, like tea-leaves,
Coff ee dregs, on a cup of cream, cleaves
On to drooping leaves of rubber trees",Wang Gungwu,Moon Thoughts (1950),Unfree Verse
"The herbal cool-tea colours the bowls;
Mango skins attract the flies.
Oh watch the chee-kee woman cense the skies,
Crying,
“This is our progressive Paradise.”",Wang Gungwu,Three Faces of Night (1950),Unfree Verse
"Confucius sat in the cabaret
And picked at a melon seed.
The stale, sharp-prodding light fi shed up
A slant-eyed cheongsam reed.",Hedwig Anuar,from Fragments of a Wasteland (1951),Unfree Verse
"Davy came to Singapore one fi ne day,
Took to lawyering and made it pay,
Talked to folk ’neath the apple-tree,
And promised them freedom and liberty.
Davy, Davy Marshall,
Champion of liberty.",Hedwig Anuar,The Ballad of Davy Marshall (1956),Unfree Verse
"So let’s drink to the pair
And hope they do and dare
And we’ll see an announcement in the Times:
“A marriage will take place... ”
(Colonial Office Loses Face!)
And we’ll rejoice to hear the wedding chimes.",Hedwig Anuar,Love Match (1956),Unfree Verse
"At dusk, across the amber fi shing stakes
The pawang walks in clouds of myrrh;
Along his path cornelian leaps
In a sunset streak and azure stir",Margaret Leong,The Pawang (1957),Unfree Verse
"And twilight landward picks its way
Through miles of variegated light,
Withdrawing colour like a skein
Into the kampongs for the night.",Margaret Leong,The Pawang (1957),Unfree Verse
"No sirens these, but women casting
Their nets into the Sultan’s shoals;
Above them, like an azure kris,
The empire of the clouds unrolls",Margaret Leong,Illusions (1957),Unfree Verse
"The barges beat in unison
Their great metallic gongs,
The algae drift aside them
And down the moveless klongs;",Margaret Leong,from Rivers to Senang (1958),Unfree Verse
"Out came that winsome smile,
That magnetic smile of mine—
And I said, most civil like,
“Inche ada baik?”
And, “Fine,” he said, “fi ne!”",Yin C. H.,Courtesy and the Cop (1959),Unfree Verse
"Why do they call a goose a goose and not a goick?
Frankly to me a goose should be a goick because that’s
what them long-necked ones sound loick.",Yin C. H.,The Goicks (1959),Unfree Verse
"Said Baba Tan
to Nonya Wee
come I spend you
drink copee

And Nonya Wee
said blushingly
how can Inche
people see",Yin C. H.,Small Town Romance (1959),Unfree Verse
"Then he swiftly stabbed another,
And as swiftly stabbed a third.
“Amok! Amok!” cried his father
Dying without another word.",Teo Kah Leng,Amok (late 1950s),Unfree Verse
"You feel your chin, and shake your head—
The stubbles grow at what a rate!
But I am always spick and span,
I bless me for a Chinaman!",Teo Kah Leng,Bless me for a Chinaman (late 1950s),Unfree Verse
"No more the days I would compel
My heart to make up words,
Waste all my time at singing well
Some mimicry of foreign birds.",Ee Tiang Hong,Dead End (1960),Unfree Verse
"And yet for all the mining pools
The latex fl owing all year long,
What power can drive Malaya’s pulse
Or tap a rhythm for its song?",Ee Tiang Hong,Dead End (1960),Unfree Verse
"All one long vivid threat:
Mothers, colours, classmates, cars and words.
Born victims, so they seem, though hardly born,
Among the hawks and peacocks, small lame birds.",D.J. Enright,Victoria Street (1962),Unfree Verse
"But God sent down the baby
When night was wet and wild;
Hungry into a hungry world,
Crying like a kampong child.",Cecile Parrish,Carol (1966),Unfree Verse
"But in these narrow lanes of loss
My ritual hand is all that bears
Remembrance of his blood and bone
And prays a pale and alien cross
For my deficiency of tears
To reconcile the blinded stone.",Cecile Parrish,Bidadari (1966),Unfree Verse
"Under the bamboo
or the culvert,
in the blue samfoo,
or the crimson cravat,
crimson and blue,
cravat and samfoo,
pianissimo
caress, carissima.",John Augustin,Approximate (1967),Unfree Verse
"Landward fear lurks
in neonlit streets
errands thugs to seize
Night here grows its dark",Goh Poh Seng,Sedate in Harbour (1967),Unfree Verse
"someone will have to pay
the taxi-dancers and the strip-tease artists. They pray
for better weather, tourist buses every day,
oil from the Balkans, straw hats, slot machines,
a restaurant upon the Bukit Timah Road...",Alistair Paterson,From Asia (1968),Unfree Verse
"Ponderous now, the white pagoda lifts its tiers
—tall-fingered, tapered—above familiar ground,
a sub-lingual sphere of irrelevancy and cliché",Alistair Paterson,From Asia (1968),Unfree Verse
"Is this the grist from which nations are made?
I must have been a politician’s nightmare
Except that I was young.",Robert Yeo,Six to Sixteen (1971),Unfree Verse
"if you value your mother’s name
do not be a footballer.",Ong Teong Hean,Our Gamblers (1973),Unfree Verse
"Speech fails and all are arrested in the loss,
love pays its dumb lip-service from this field of stone,
broken like the poor syntax of the antenna attentive only to morse,

no human ear discerns the treachery of stone.",Sng Boh Kim,Fort Canning (1974),Unfree Verse
"If only you’d been a Daimler or Volvo
My problems would seem much simpler to solve. Oh,
My newly bought image has suffered outrage
At the hands of a Mini of uncertain age.",W. J. Crewe,Driving in Singapore (1976),Unfree Verse
"Of course I’m no philanderer!
Haven’t you read Germaine Greer?
She said, on hundred and thirty-three
(look it up, silly), that we
should assert our individuality.",Bilahari Kausikan,The Female Eunuch (1977),Unfree Verse
"Evening rides upon a pin
Of light, congeals.",Edwin Thumboo,Colour (1977),Unfree Verse
"Each made comment,
Deduced a pun, focused a fl aw
Suggested that the government
In some had too much metaphor;",Edwin Thumboo,Friends (1977),Unfree Verse
"Angkor posters at the Hotel Royal
Warn, It is not safe to go to Siem Reap
In handwriting. Souvenirs of temple
Rubbings are poor substitutes for the trip.
The only symbol that is ever stable
I find where the Mekong meets Tonle Sap.",Robert Yeo,Phnom Penh I (1977),Unfree Verse
"I turn the lamp down, thinking
of the dividing line
between darkness closing about
me, and the new day’s light
after the stars opt out.",Lee Tzu Pheng,Night (1980),Unfree Verse
"days are variable,
each day has what each day has.
that, which others haven’t,
is best.",Arthur Yap,They are Days (1980),Unfree Verse
"All these may well
come to nothing,
and all the hopes.
World doesn’t owe us poets
a reading.",Ee Tiang Hong,Epilogue (1985),Unfree Verse
"But should you read these lines,
and if they move,
I would you share their longing
with a friend, our people,
and all who love.",Ee Tiang Hong,Epilogue (1985),Unfree Verse
"The still face of a weedy pond,
the evening fl oats past us, black,
unmirroring, questions gone
unasked, while constellations fl ake
their spiced stars on doves and lovers
lying by a stone’s crack.",Shirley Geok-lin Lim,Evenings (1985),Unfree Verse
"Are you our sister whose words
Awaken in rooms of strangers to know
Yourself?",Shirley Geok-lin Lim,On Hearing A Woman Poet Read (1985),Unfree Verse
"A long-legged bird
Startled by sound, you clear air, show
Flight, before falling again
To the close of your poem, to your pain.",Shirley Geok-lin Lim,On Hearing A Woman Poet Read (1985),Unfree Verse
"The child kicks against me crying like a fl ute
Through its two weak mouths. His mother prays
Knowing when the time comes that we would,
For broken clay is never set in glaze.",Shirley Geok-lin Lim,Pantoum for Chinese Women (1985),Unfree Verse
"Morning the curt
Early call—wrong number from the wrong man—
And soft sharp jazz jumble jungle music, swinging pert
Backgrounds to a gargled hacking of throat",Simon Tay,My Seventh Morning (1985),Unfree Verse
